RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9305,1,HONDA,RVT 1000R (RC51),2000,2006,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9307,1,HONDA,CBR 1100XX,1997,2008,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9308,1,HONDA,CB 1100S (X11),2000,2002,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9324,2,HUSQVARNA,CR 125,1995,1996,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9325,2,HUSQVARNA,CR 125,1998,2012,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9328,2,HUSQVARNA,CR 250,1995,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9329,2,HUSQVARNA,CR 250,1999,1999,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9330,2,HUSQVARNA,CR 250,2000,2004,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9331,2,HUSQVARNA,CR 360,1992,1994,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9333,2,HUSQVARNA,WR 125,1995,1996,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9334,2,HUSQVARNA,WR 125,1998,2013,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9339,2,HUSQVARNA,WR 250,1998,2012,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9340,2,HUSQVARNA,WR 360,1992,1994,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9341,2,HUSQVARNA,WRE 125,1995,1997,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9342,2,HUSQVARNA,WRE 125,1999,1999,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9343,2,HUSQVARNA,TC 250,2002,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9344,2,HUSQVARNA,TC 250,2004,2005,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9345,2,HUSQVARNA,TC 450,2002,2005,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347,2,HUSQVARNA,TC 570,2001,2003,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9348,2,HUSQVARNA,TC 610,1991,1994,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,2,HUSQVARNA,TC 610,1999,2000,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9350,2,HUSQVARNA,TE 250,2002,2003,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9351,2,HUSQVARNA,TE 250,2004,2009,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9352,2,HUSQVARNA,TE 350,1992,1995,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9353,2,HUSQVARNA,TE 400,2001,2003,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9354,2,HUSQVARNA,TE 410,1995,2000,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9355,2,HUSQVARNA,TE 450,2004,2005,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9358,2,HUSQVARNA,TE 570,2004,2004,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359,2,HUSQVARNA,TE 610,1991,1994,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9360,2,HUSQVARNA,TE 610E,1999,2006,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9362,1,HUSQVARNA,SM 125,2004,2012,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9363,1,HUSQVARNA,SM 450R,2004,2004,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9364,1,HUSQVARNA,SM 450R,2005,2006,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9365,1,HUSQVARNA,SM 570R,2001,2004,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9366,1,HUSQVARNA,SM 610E/S,1999,2008,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9368,2,KAWASAKI,KX 60,1986,2001,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9369,2,KAWASAKI,KX 65,2000,2001,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9370,2,KAWASAKI,KX 65,2002,2019,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9371,2,KAWASAKI,KX 80,1988,1997,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
